#   JDa          RVa    Uncertainty
#(-2,451,000)	 m/s     m/s
 118.0578 	 25.4	 8.4
 118.9610	-23.3	16.7
 119.9445	  1.9	11.7
 121.0385	-29.6	16.2
 211.9514	-12.3	18.8
 212.9234	  8.6	13.4
 213.9749	  0.0	17.0
 214.9171	-11.6	13.7
 386.3227	-52.2	17.1
 387.2981	-29.0	15.3
 411.2293	-13.3	15.5
 414.2585	-14.1	10.6
 473.0883	-40.9	10.6
 525.9286	-76.1	13.7
 527.9226	-28.3	10.9
 745.2702	-49.2	17.6
 828.0703	-42.6	12.7
 828.9943	-47.6	10.5
 829.9757	-43.1	11.4
 856.0702	-31.0	15.0
 919.9434	-26.4	14.4
 920.9672	-20.5	14.5
1093.2947	138.8	14.2
1127.2341	100.3	15.0
1151.2230	 66.4	 8.3
1152.0860	 69.3	 9.6
1154.2124	 74.9	11.6
1187.0957	 56.6	 9.8
1188.0300	 51.3	 8.4
1189.1502	 59.7	11.8
1190.0931	 51.1	 8.5
1422.3281	 -7.4	11.2
1425.3322	 -1.3	 7.6
1455.2852	-27.3	 6.1
1477.2543	-39.3	14.1
1511.1045	-26.7	15.2
